# IntelliGrid — Deep Production Audit Checklist
**Version**: 2.1.0 | **Audit Date**: February 2026 | **Status**: Pre-Launch Final Review

> **How to use**: Work through each section top-to-bottom. Mark each item `✅ Done`, `⚠️ Partial`, `❌ Missing`, or `N/A`. Priority labels: 🔴 **Critical** (blocks launch) | 🟡 **Important** (should fix soon) | 🟢 **Enhancement** (nice to have).

---

## TABLE OF CONTENTS

1. [Frontend — Pages & Routing](#1-frontend--pages--routing)
2. [Frontend — Components](#2-frontend--components)
3. [Frontend — Auth & Access Control](#3-frontend--auth--access-control)
4. [Frontend — Search & Discovery](#4-frontend--search--discovery)
5. [Frontend — Performance & SEO](#5-frontend--performance--seo)
6. [Frontend — UX & Design System](#6-frontend--ux--design-system)
7. [Backend — API Routes](#7-backend--api-routes)
8. [Backend — Database & Models](#8-backend--database--models)
9. [Backend — Services Layer](#9-backend--services-layer)
10. [Backend — Middleware & Security](#10-backend--middleware--security)
11. [Payments & Monetization](#11-payments--monetization)
12. [Email Automation](#12-email-automation)
13. [Admin Panel](#13-admin-panel)
14. [Search — Algolia Integration](#14-search--algolia-integration)
15. [Analytics & Monitoring](#15-analytics--monitoring)
16. [Infrastructure & Deployment](#16-infrastructure--deployment)
17. [Security Hardening](#17-security-hardening)
18. [Legal & Compliance](#18-legal--compliance)
19. [Data Integrity & Content](#19-data-integrity--content)
20. [Go-Live Final Switches](#20-go-live-final-switches)

---

## 1. Frontend — Pages & Routing

### 1.1 Route Coverage (17 Pages)

| Priority | Check | Status | Notes |
|---|---|---|---|
| 🔴 | All 17 routes registered in router config | | |
| 🔴 | Lazy-loading applied to all non-critical pages | | Reduces initial bundle |
| 🔴 | Protected routes (`/dashboard`, `/admin`) correctly wrapped in `ProtectedRoute.jsx` | | |
| 🔴 | 404 `NotFoundPage` catches all unmatched routes (`path="*"`) | | |
| 🟡 | Admin sub-routes (`/admin/revenue`, `/admin/health`) require `MODERATOR+` role | | |
| 🟡 | Deep linking works (direct URL navigation, no blank page on refresh) | | Vercel SPA fallback config |
| 🟡 | All route transitions are smooth (no flicker/flash of unstyled content) | | |
| 🟢 | Browser back/forward navigation preserves scroll position | | |

### 1.2 Page-by-Page Checklist

#### `HomePage` (`/`)
| Priority | Check | Status |
### 7.3 Auth Routes (`/api/v1/auth`)

| Priority | Check | Status |
|---|---|---|
| 🔴 | Clerk webhook endpoint accepts POST from Clerk servers | |
| 🔴 | `user.created` webhook creates MongoDB User document | |
| 🔴 | `user.updated` webhook updates MongoDB User document | |
| 🔴 | `user.deleted` webhook handles user deletion/anonymization | |
| 🔴 | Webhook signature verified using `CLERK_WEBHOOK_SECRET` | |
| 🟡 | Webhook failures logged and alerted | |

### 7.4 Reviews Routes (`/api/v1/reviews`)

| Priority | Check | Status |
|---|---|---|
| 🔴 | `GET /reviews/:toolId` — Returns approved reviews | |
| 🔴 | `POST /reviews` — Creates pending review; requires auth | |
| 🔴 | `DELETE /reviews/:id` — Moderator+ only | |
| 🔴 | Duplicate review check (one review per user per tool) | |
| 🔴 | `Tool.ratings.average` recalculated after each review approval | |
| 🟡 | Reviews sorted by `helpful` count as default | |

### 7.5 Payment Routes (`/api/v1/payment`)

| Priority | Check | Status |
|---|---|---|
| 🔴 | `POST /payment/create-order` — Creates Order document (pending) | |
| 🔴 | `POST /payment/create-order` — Returns correct gateway redirect URL | |
| 🔴 | `POST /payment/verify` — Verifies PayPal transaction with PayPal API | |
| 🔴 | `POST /payment/verify` — Verifies Cashfree transaction with Cashfree API | |
| 🔴 | `POST /payment/verify` — Sets `User.tier = 'pro'` on success | |
| 🔴 | `POST /payment/verify` — Sets `User.subscription.expiresAt` correctly | |
| 🔴 | `GET /payment/status` — Returns current order/subscription status | |
| 🔴 | Duplicate webhook processing prevented via `WebhookLog` | |
| 🟡 | Payment verify idempotent (safe to call twice for same order) | |
| 🟡 | Coupon code applied to order amount before gateway redirect | |

### 7.6 Collections Routes (`/api/v1/collections`)

| Priority | Check | Status |
|---|---|---|
| 🔴 | `GET /collections/:idOrSlug` — Public collections accessible without auth | |
| 🔴 | `POST /collections` — Creates collection; enforces Free 3-collection limit | |
| 🔴 | `PATCH /collections/:id` — Updates name, description, visibility | |
| 🔴 | `DELETE /collections/:id` — Owner or admin only | |
| 🔴 | Add/remove tool from collection endpoints functional | |
| 🟡 | Public slug auto-generated from collection name | |

### 7.7 Admin Routes (`/api/v1/admin`)

| Priority | Check | Status |
|---|---|---|
| 🔴 | All admin routes protected by `requireRole('MODERATOR')` middleware | |
| 🔴 | Tool approval/rejection endpoint updates tool status | |
| 🔴 | Review moderation endpoints functional | |
| 🔴 | User role update endpoint (SUPERADMIN only for role escalation) | |
| 🔴 | Revenue dashboard aggregation endpoint returns MRR/ARR data | |
| 🟡 | All admin mutations create an audit trail / log entry | |

### 7.8 Other Routes

| Priority | Check | Status |
|---|---|---|
| 🔴 | `POST /newsletter/subscribe` — Adds subscriber to Brevo list | |
| 🔴 | `POST /gdpr/export` — Queues data export for user | |
| 🔴 | `POST /gdpr/delete` — Processes deletion request | |
| 🔴 | `GET /sitemap.xml` — Returns valid XML sitemap with all public tool slugs | |
| 🔴 | `GET /robots.txt` — Returns correct robot directives | |
| 🟡 | `GET /sitemap.xml` — Updates dynamically as new tools are added | |
| 🟡 | Analytics event endpoint (`POST /analytics/event`) functional | |

---

## 8. Backend — Database & Models

### 8.1 MongoDB Connection

| Priority | Check | Status |
|---|---|---|
| 🔴 | `MONGODB_URI` points to production Atlas cluster | |
| 🔴 | Atlas IP allowlist includes Railway service IP(s) | |
| 🔴 | Atlas cluster tier sufficient for production load (M10+) | |
| 🔴 | MongoDB Atlas backups enabled (daily automated backups) | |
| 🟡 | Connection pooling configured appropriately for Railway | |
| 🟡 | Mongoose connection error handled (retry logic) | |

### 8.2 Model Validation & Indexes

| Priority | Check | Status |
|---|---|---|
| 🔴 | `Tool` model — `slug` field has unique index | |
| 🔴 | `Tool` model — `category` field indexed for filter queries | |
| 🔴 | `Tool` model — `isTrending`, `isFeatured` indexed for sort queries | |
| 🔴 | `User` model — `clerkId` has unique index | |
| 🔴 | `User` model — `email` has unique index | |
| 🔴 | `Review` model — Compound index on `[toolId, userId]` for duplicate detection | |
| 🔴 | `Favorite` model — Compound index on `[userId, toolId]` | |
| 🔴 | `Order` model — `transactionId` indexed for webhook lookup | |
| 🟡 | `SearchLog` model — TTL index to auto-delete old logs (e.g., 90 days) | |
| 🟡 | `AnalyticsEvent` model — TTL index for data hygiene | |
| 🟡 | All required Mongoose schema fields marked `required: true` | |
| 🟢 | Database query explain plans reviewed for N+1 issues | |

### 8.3 Data Integrity

| Priority | Check | Status |
|---|---|---|
| 🔴 | No orphaned `Favorite` documents when a tool is deleted | |
| 🔴 | No orphaned `Review` documents when a tool is deleted | |
| 🔴 | `Category.toolCount` stays in sync with actual tool count | |
| 🔴 | `Tool.ratings.average` and `Tool.ratings.count` stay in sync | |
| 🟡 | Transactions used for multi-document writes (e.g., payment + subscription) | |

---

## 9. Backend — Services Layer

| Priority | Check | Status |
|---|---|---|
| 🔴 | `toolService.js` — Pagination returns correct `totalPages` and `currentPage` | |
| 🔴 | `toolService.js` — Trending calculation logic correct (not hardcoded) | |
| 🔴 | `reviewService.js` — Average rating recalculated atomically after review change | |
| 🔴 | `userService.js` — Free tier quotas enforced (10 favs, 3 collections) | |
| 🔴 | `paymentService.js` — PayPal sandbox → live mode switch fully implemented | |
| 🔴 | `paymentService.js` — Cashfree test → prod mode switch fully implemented | |
| 🔴 | `emailService.js` — All 5 email types tested and sending correctly | |
| 🔴 | `renewalService.js` — Cron job scheduled and running | |
| 🔴 | `renewalService.js` — Expiry reminder email fires 7 days before renewal | |
| 🔴 | `renewalService.js` — Expired subscriptions downgraded to Free tier | |
| 🟡 | Redis caching applied to tool listing (5-minute TTL confirmed) | |
| 🟡 | Cache invalidation triggered on tool create/update/delete | |
| 🟡 | `collectionService.js` — Slug uniqueness enforced at service level | |
| 🟡 | `analyticsService.js` — MRR/DAU calculations are correct and tested | |

---

## 10. Backend — Middleware & Security

| Priority | Check | Status |
|---|---|---|
| 🔴 | Middleware stack order matches specification (Sentry → helmet → … → routes) | |
| 🔴 | `requireAuth` middleware validates Clerk JWT on all protected routes | |
| 🔴 | `requireRole()` middleware blocks insufficient role access | |
| 🔴 | Rate limiting active: 100 req / 15 min per IP on `/api/` | |
| 🔴 | CORS allowlist contains only production origins | |
| 🔴 | `helmet()` CSP does not break any frontend functionality | |
| 🟡 | Rate limit response includes `Retry-After` header | |
| 🟡 | 404 handler returns JSON (not HTML) for API routes | |
| 🟡 | Global error handler never leaks stack traces in production | |
| 🟡 | `express.json({ limit: '10mb' })` — is 10MB appropriate? (consider reducing) | |
| 🟢 | API versioning strategy defined for future `/api/v2` | |

---

## 11. Payments & Monetization

### 11.1 PayPal

| Priority | Check | Status |
|---|---|---|
| 🔴 | `PAYPAL_MODE=sandbox` → `PAYPAL_MODE=live` in Railway env before launch | |
| 🔴 | Live `PAYPAL_CLIENT_ID` and `PAYPAL_CLIENT_SECRET` set in Railway | |
| 🔴 | PayPal live business account verified and approved | |
| 🔴 | PayPal monthly plan price ($9.99) correct | |
| 🔴 | PayPal yearly plan price ($89.99) correct | |
| 🔴 | PayPal webhook URL registered in PayPal dashboard pointing to Railway | |
| 🔴 | PayPal webhook signature verification implemented | |
| 🟡 | PayPal dispute/chargeback webhook handler implemented | |
| 🟡 | PayPal subscription cancellation handled (downgrade user to Free) | |

### 11.2 Cashfree

| Priority | Check | Status |
|---|---|---|
| 🔴 | `CASHFREE_ENV=TEST` → `CASHFREE_ENV=PROD` in Railway env before launch | |
| 🔴 | Live `CASHFREE_APP_ID` and `CASHFREE_SECRET_KEY` set in Railway | |
| 🔴 | Cashfree merchant account KYC complete | |
| 🔴 | Cashfree monthly plan price (₹999) correct | |
| 🔴 | Cashfree yearly plan price (₹8999) correct | |
| 🔴 | Cashfree webhook URL registered pointing to Railway | |
| 🔴 | Cashfree webhook signature verification implemented | |
| 🟡 | Cashfree refund flow implemented for 30-day guarantee | |

### 11.3 Coupon System

| Priority | Check | Status |
|---|---|---|
| 🟡 | Admin can create/deactivate coupons via admin panel | |
| 🟡 | Percentage discount applied correctly before gateway total | |
| 🟡 | Fixed discount applied correctly | |
| 🟡 | `maxUses` enforced (coupon deactivates when limit reached) | |
| 🟡 | `expiresAt` enforced (expired coupons rejected) | |
| 🟡 | `usedCount` incremented atomically per redemption | |

### 11.4 Subscription Lifecycle

| Priority | Check | Status |
|---|---|---|
| 🔴 | New subscription: user tier set to `pro` immediately after verify | |
| 🔴 | Subscription expiry: cron downgrades user to `free` tier | |
| 🔴 | Pro features inaccessible after subscription expires | |
| 🟡 | Grace period defined for failed renewal (if applicable) | |
| 🟡 | Renewal reminder email fires at correct 7-day interval | |
| 🟡 | Admin can manually grant/revoke Pro access | |

---

## 12. Email Automation

| Priority | Check | Status |
|---|---|---|
| 🔴 | `BREVO_API_KEY` and `FROM_EMAIL` set in Railway env | |
| 🔴 | `FROM_EMAIL` domain has SPF, DKIM, DMARC records configured | |
| 🔴 | Welcome email sends on new user webhook | |
| 🔴 | Payment receipt email sends after successful order | |
| 🔴 | Subscription confirmed email sends after Pro tier activated | |
| 🔴 | Subscription expiry reminder email sends 7 days before expiry | |
| 🔴 | Newsletter opt-in confirmation email functional | |
| 🟡 | All emails render correctly in Gmail, Outlook, Apple Mail | |
| 🟡 | All emails have plain text fallback version | |
| 🟡 | Unsubscribe link in all marketing emails (CAN-SPAM / GDPR) | |
| 🟡 | Brevo daily sending limit sufficient for user volume | |
| 🟢 | Email open/click tracking enabled in Brevo | |

---

## 13. Admin Panel

### 13.1 Main App Admin (`/admin`)

| Priority | Check | Status |
|---|---|---|
| 🔴 | Accessible only to `MODERATOR+` roles | |
| 🔴 | Overview tab stats (total tools, users, revenue, pending items) load correctly | |
| 🔴 | Tool Queue: pending submissions list loads | |
| 🔴 | Tool Queue: approve action updates tool status and Algolia index | |
| 🔴 | Tool Queue: reject action removes/marks tool correctly | |
